dataset	sample_id	donor_group	n_cells_total	n_cells_with_tcr	n_clonotypes
Dataset1	A01	control	2240	2136	1900
Dataset1	A02	control	1913	1778	1164
Dataset1	A03	control	1552	1471	1332
Dataset1	A04	control	1134	784	660
Dataset1	A05	control	2118	1799	1242
Dataset1	A06	control	1418	1360	1196
Dataset1	A07	control	2287	2092	1868
Dataset1	A08	control	1942	1773	844
Dataset1	B01	centenarian	1562	1367	855
Dataset1	B02	centenarian	1978	1781	1350
Dataset1	B03	centenarian	2066	1766	1530
Dataset1	B04	centenarian	1275	1178	813
Dataset1	B05	centenarian	1813	1620	508
Dataset1	B06	centenarian	1018	959	486
Dataset1	B07	centenarian	1233	984	528
Dataset1	B08	centenarian	1101	992	593
Dataset1	B09	centenarian	1138	1073	153
Dataset1	B10	centenarian	1415	1243	1069
Dataset1	C01	supercentenarian	1664	1570	1189
Dataset1	C02	supercentenarian	610	542	403
Dataset1	C03	supercentenarian	1326	1181	537
Dataset1	C04	supercentenarian	1550	1366	478
Dataset1	C05	supercentenarian	1461	1223	318
Dataset1	C06	supercentenarian	1626	1474	723
Dataset1	C07	supercentenarian	1031	974	743
Dataset1	C08	supercentenarian	1524	1449	805
Dataset1	C09	supercentenarian	2148	2000	933
Dataset1	C10	supercentenarian	1441	1306	873
