dataset	sample_id	donor_group	n_cells_total	n_cells_with_tcr	n_clonotypes	n_matching_tcrs	n_cells_matching_tcrs	proportion_cells_matching_tcrs
Dataset1	A01	control	2240	2136	1900	30	37	0.017322097378277154
Dataset1	A02	control	1913	1778	1164	19	299	0.16816647919010125
Dataset1	A03	control	1552	1471	1332	15	19	0.01291638341264446
Dataset1	A04	control	1134	784	660	6	9	0.011479591836734694
Dataset1	A05	control	2118	1799	1242	15	24	0.013340744858254585
Dataset1	A06	control	1418	1360	1196	16	54	0.039705882352941174
Dataset1	A07	control	2287	2092	1868	29	40	0.019120458891013385
Dataset1	A08	control	1942	1773	844	13	33	0.018612521150592216
Dataset1	B01	centenarian	1562	1367	855	7	82	0.05998536942209217
Dataset1	B02	centenarian	1978	1781	1350	17	62	0.03481190342504211
Dataset1	B03	centenarian	2066	1766	1530	17	21	0.01189127972819932
Dataset1	B04	centenarian	1275	1178	813	6	7	0.005942275042444821
Dataset1	B05	centenarian	1813	1620	508	8	8	0.0049382716049382715
Dataset1	B06	centenarian	1018	959	486	11	99	0.1032325338894682
Dataset1	B07	centenarian	1233	984	528	12	71	0.07215447154471545
Dataset1	B08	centenarian	1101	992	593	19	25	0.025201612903225805
Dataset1	B09	centenarian	1138	1073	153	5	5	0.004659832246039142
Dataset1	B10	centenarian	1415	1243	1069	11	21	0.016894609814963796
Dataset1	C01	supercentenarian	1664	1570	1189	17	26	0.016560509554140127
Dataset1	C02	supercentenarian	610	542	403	3	3	0.005535055350553505
Dataset1	C03	supercentenarian	1326	1181	537	7	35	0.029635901778154106
Dataset1	C04	supercentenarian	1550	1366	478	11	163	0.11932650073206442
Dataset1	C05	supercentenarian	1461	1223	318	8	63	0.05151267375306623
Dataset1	C06	supercentenarian	1626	1474	723	15	48	0.032564450474898234
Dataset1	C07	supercentenarian	1031	974	743	15	19	0.019507186858316223
Dataset1	C08	supercentenarian	1524	1449	805	10	45	0.031055900621118012
Dataset1	C09	supercentenarian	2148	2000	933	16	25	0.0125
Dataset1	C10	supercentenarian	1441	1306	873	9	14	0.010719754977029096
